"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105388339",2073.82156327061,1.21735217900778,0.192664632806743,6.31850361570447,2.64108118120993e-10,1.45341042763649e-08
"LOC105390972",85.5634909762365,3.07609212477358,0.486960227821234,6.31692682282634,2.66815842798552e-10,1.46266392592606e-08
"LOC105390280",890.079340910716,1.46239158391929,0.231607325933039,6.31409899504685,2.71739958162905e-10,1.48395004739306e-08
"LOC105392598",2479.89230196668,1.35022171761211,0.213914254908176,6.31197634861551,2.75494337877876e-10,1.49871022815777e-08
"LOC105382860",2935.56811857831,1.35376714355883,0.214666679619421,6.30636830065521,2.85658828414469e-10,1.54809706516785e-08
"LOC105381850",153.910787438362,2.44539516727272,0.388307755744282,6.29756972684089,3.02348370096757e-10,1.62617785622229e-08
"LOC105398525",1484.25494507839,1.22546238164496,0.194586298484847,6.29778350884451,3.0193179531748e-10,1.62617785622229e-08
"LOC105388303",615.503719984372,2.12343043087898,0.337312394057817,6.2951449999641,3.07112642441244e-10,1.63942939802062e-08
"LOC119693234",68.5058172182212,-1.78341367821651,0.283293067684929,-6.29529586724648,3.06814081254417e-10,1.63942939802062e-08
"LOC105392274",643.609525603527,1.23853581755273,0.197208402727655,6.28033998765838,3.37833424172253e-10,1.79001479357885e-08
"LOC105396706",580.070782421193,2.02942471607902,0.32341716924594,6.27494427958387,3.49759527252109e-10,1.84634168219419e-08
"LOC119691065",10682.5114057771,-1.11256106375475,0.177326220369872,-6.27409224329116,3.51679977729939e-10,1.8495320479324e-08
"LOC119693568",5137.2215133549,2.32401085381079,0.37044724137787,6.27352722392177,3.52959178444969e-10,1.8495320479324e-08
"LOC105390238",322.264301674617,1.93684744592656,0.308790111387057,6.27237522997877,3.55581375039765e-10,1.8564473767186e-08
"LOC105394168",982.127083348788,-1.64676331267362,0.2631452208707,-6.25800197786143,3.89940876955961e-10,2.02840413111435e-08
"LOC105383944",8685.07445753365,1.23337790608381,0.197172228315573,6.25533279519363,3.96669124559171e-10,2.05590001176068e-08
"LOC105383409",2071.8599623569,2.44042714587739,0.390807336050088,6.24457864722532,4.24944072174785e-10,2.18077775013922e-08
"LOC105391885",10190.4943788296,1.58438939928805,0.253728502024409,6.24442814522916,4.25353409484812e-10,2.18077775013922e-08
"LOC105390327",1168.60462058205,2.09440482029852,0.335588231643399,6.24099602671427,4.34793293939916e-10,2.2211859564608e-08
"LOC105390928",402.641094053867,1.08268141648101,0.173977174593606,6.22312334368029,4.87353933652508e-10,2.47197708766875e-08
"LOC119692859",21.034991232317,-4.62496326467763,0.743490355942795,-6.22060962554501,4.952269095499e-10,2.50300324177827e-08
"LOC105398479",357.203570389688,-1.63644255669336,0.263156038763868,-6.21852557281328,5.01848166146167e-10,2.52750597600047e-08
"LOC105381670",848.992815391394,-1.39601520451708,0.224553113882636,-6.21685970138326,5.07202875046623e-10,2.54547978099983e-08
"LOC105384017",366.506711794744,-1.19804640506319,0.192778168456353,-6.214637345382,5.14433209333333e-10,2.57270755530807e-08
"LOC105396817",9764.24467664924,1.67016059685712,0.268850225000815,6.21223432806148,5.22364503718414e-10,2.60323820681767e-08
